sku,title,price,rating,reviews_total,cover_image,photos_seller,videos_seller,color,material,art_set,has_rich_content,error
2359066702,Раскраска по номерам антистресс Дисней Ашет ТОМ 11/TOME 11,2113,4.9,1889,https://ir.ozone.ru/s3/multimedia-1-l/9548554413.jpg,19,2,Темно-розовый,Бумага,,False,
2829800382,Раскраска по номерам дисней hachette coloriages mysteres Les Grands classiques Tome 11 бемби от ашет,2311,4.9,2273,https://ir.ozone.ru/s3/multimedia-1-v/7976968915.jpg,11,1,"Бежевый, желтый, красный",Бумага,,False,
